recipe_id,step_number,instruction
00000001,1,"Add oil to skillet, heat over medium heat add the flour, to make a roux."
00000001,2,(It is ready when it's color matches that of a penney).
00000001,3,This may take about 15 minutes.
00000001,4,"Stir in onion, celery, bell pepper, garlic, and black pepper."
00000001,5,Cook over medium heat about 3 minutes or till vegetables are crisp tender.
00000001,6,"Gradually stir in chicken broth, tomatoes, salt, Worcestershire sauce, pepper sauce, corn, okra, Basil, thyme, cumin and bay leaf."
00000001,7,Bring to boiling point; reduce heat.
00000001,8,Cover and simmer for 20 to 30 minutes.
00000001,9,Add SHRIMP during the last 5 minutes.
00000001,10,Serve over Rice.
00000001,11,"This can also be made with chicken, if using chicken."
00000001,12,Use chicken breast cut in chunks Add during the last 20 to 30 minute cooking time.
00000001,13,Smoked sausage is also good added with the chicken.
00000001,14,I have added a can of crabmeat to the shrimp version.
00000002,1,Fry bacon in 5-quart Dutch Oven until crisp.
00000002,2,Remove with slotted spoon; drain on paper towels.
00000002,3,"Cook beef in bacon fat over medium heat, turning occasionally, until brown; drain."
00000002,4,"Add brown sugar, salt, garlic powder, pepper, thyme, bacon, water and beer."
00000002,5,Heat to boiling; reduce heat.
00000002,6,"Cover and simmer just until beef is tender, 2 1/2 to 3 hours."
00000002,7,(OR transfer to crock pot after boiling and cook on LOW setting for 4 to 6 hours until beef is tender).
00000002,8,"If serving that evening, continue onto""TO SERVE"" or cover and refrigerate beef and broth separately."
00000002,9,(Store no longer than 48 hours).
00000002,10,TO SERVE:.
00000002,11,"About 45 minutes before serving, remove fat from broth."
00000002,12,"(If using crock pot, add vegetables for the last 1 1/2 hours)."
00000002,13,Heat beef and broth to boiling.
00000002,14,"Add vegetables; cover and simmer until beef is hot and vegetables are tender, about 20 minutes."
00000002,15,Remove beef and vegetables to warm platter.
00000002,16,Shake water and flour in covered container; stir into broth.
00000002,17,"Heat to boiling, stirring or whisking constantly."
00000002,18,Boil and stir for 1 minute.
00000002,19,Serve with beef and vegetables.
00000003,1,Editor's Note: Named Bourbon Chicken because it was supposedly created by a Chinese cook who worked in a restaurant on Bourbon Street.
00000003,2,Heat oil in a large skillet.
00000003,3,Add chicken pieces and cook until lightly browned.
00000003,4,Remove chicken.
00000003,5,"Add remaining ingredients, heating over medium Heat until well mixed and dissolved."
00000003,6,Add chicken and bring to a hard boil.
00000003,7,Reduce heat and simmer for 20 minutes.
00000003,8,Serve over hot rice and ENJOY.
00000004,1,Remove odd pots and pans from oven.
00000004,2,Preheat oven to 350º / 180º.
00000004,3,Cream together butter and sugar.
00000004,4,Add eggs and crushed bananas.
00000004,5,Combine well.
00000004,6,"Sift together flour, soda and salt. Add to creamed mixture. Add vanilla."
00000004,7,Mix just until combined. Do not overmix.
00000004,8,Pour into greased and floured loaf pan.
00000004,9,Bake at 350º / 180º for 55 minutes.
00000004,10,"Keeps well, refrigerated."
00000005,1,Place beef roast in crock pot.
00000005,2,Mix the dried mixes together in a bowl and sprinkle over the roast.
00000005,3,Pour the water around the roast.
00000005,4,Cook on low for 7-9 hours.
00000005,5,Optional tweaks:.
00000005,6,1. Use onion soup mix instead of ranch.
00000005,7,2. Add one cup of red wine along with the water.
00000005,8,"3. Add potatoes, carrots, mushrooms, celery and onion 2-3 hours before end."
00000006,1,"Take 4-5 frozen, yes, frozen, boneless chicken breasts put into crock pot."
00000006,2,"Add 1 can of black beans, drained, 1 jar of salsa, 1 can of corn drained."
00000006,3,Keep in crock pot on high for about 4-5 hours or until chicken is cooked.
00000006,4,Add 1 package of cream cheese (just throw it on top!) and let sit for about 1/2 hour.
00000006,5,All done and enjoy!
00000007,1,Place chicken and Cajun seasoning in a bowl and toss to coat.
00000007,2,"In a large skillet over medium heat, sauté chicken in butter or margarine until chicken is tender, about 5 to 7 minutes."
00000007,3,"Reduce heat add green onion, heavy cream, tomatoes, basil, salt, garlic powder, black pepper and heat through."
00000007,4,Pour over hot linguine and toss with Parmesan cheese.
00000008,1,Preheat oven to 350°.
00000008,2,Whisk dry ingredients; set aside.
00000008,3,Combine wet ingredients with a hand mixer on low.
